ὁ	ὁ, ἡ, τό	the 
πορθέω	πορθέω	to destroy
ποσάκις	ποσάκις	how often?
πόσις	πόσις, -εως, ἡ	a drinking, a drink
πρεσβυτέριον	πρεσβυτέριον, -ου, τό	a body of elders
πρεσβύτης	πρεσβύτης, -ου, ὁ	an old man
πρόδηλος	πρόδηλος, -ον	clear, evident
προδότης	προδότης, -ου, ὁ	a betrayer, traitor
πρόθυμος	πρόθυμος, -ον	willing, ready, eager
προκοπή	προκοπή, -ῆς, ἡ	progress
προλαμβάνω	προλαμβάνω	to take beforehand
προνοέω	προνοέω	to provide for, have regard for, respect
προσαγωγή	προσαγωγή, -ῆς, ἡ	access
προστρέχω	προστρέχω	to run up (to)
προτίθημι	προτίθημι	to propose, plan
προχειρίζομαι	προχειρίζομαι	to determine, appoint
πρύμνα	πρύμνα, -ης, ἡ	the stern (of a ship)
πτύω	πτύω	to spit
πτωχεία	πτωχεία, -ας, ἡ	poverty
πύρωσις	πύρωσις, -εως, ἡ	a burning, burning ordeal
πώρωσις	πώρωσις, -εως, ἡ	hardness, obstinancy
ῥάπισμα	ῥάπισμα, -τος, τό	a blow, slap in the face
ρ`ύσις	ῥύσις, -εως, ἡ	a flowing, hemorrhage
σαλαθιήλ	Σαλαθιήλ, ὁ	Shealtiel
σαμουήλ	Σαμουήλ, ὁ	Samuel
σάρδεις	Σάρδεις, -εων, ἡ	Sardis
σαρόω	σαρόω	to sweep
σεβαστός	σεβαστός, -ή, -όν	revered, august
σεμνότης	σεμνότης, -ητος, ἡ	seriousness, dignity
σής	σής, -σητός, ὁ	a moth
σιλωάμ	Σιλωάμ, ὁ	Siloam
σιτευτός	σιτευτός, -ή, -όν	fattened
σκάπτω	σκάπτω	to dig
σκάφη	σκάφη, -ης, ἡ	a dish, small boat
σκέλος	σκέλος, -ους, τό	the leg
σκήνωμα	σκήνωμα, -τος, τό	a tent, dwelling
σκιρτάω	σκιρτάω	to leap
σκληροκαρδία	σκληροκαρδία, -ας, ἡ	hardness of heart
σκοτεινός	σκοτεινός, -ή, -όν	dark
σκοτόω	σκοτόομαι	to darken
σπαράσσω	σπαράσσω	to convulse, shake to and fro
σπόγγος	σπόγγος, -ου, ὁ	a sponge
σποδός	σποδός, -οῦ, ἡ	ashes
σπόριμος	σπόριμος	sown, grain field
σπουδαῖος	σπουδαῖος, -α, -ον	diligent, earnest, eager
σταφυλή	σταφυλή, -ῆς, ἡ	(a bunch of) grapes
στέγη	στέγη, -ης, ἡ	a roof
στενός	στενός, -ή, -όν	narrow
στενοχωρέω	στενοχωρέομαι	to confine, restrain, crush
στερεόω	στερεόω	to make firm, strengthen
στεφανᾶς	Στεφανᾶς, -ᾶ, ὁ	Stephanas
στεφανόω	στεφανόω	to crown, reward
συγγένεια	συγγένεια, -ας, ἡ	kinship, relatives
συγκοινωνέω	συγκοινωνέω	to have fellowship with, participate, share
συγκρίνω	συγκρίνω	to combine, compare
συζάω	συζάω	to live with
συμμαρτυρέω	συμμαρτυρέω	to bear witness with, confirm
συμπληρόω	συμπληρόω	to fulfill, be swamped, approach
συναίρω	συναίρω	to settle accounts
συναιχμάλωτος	συναιχμάλωτος, -ου, ὁ	a fellow prisoner
συνακολουθέω	συνακολουθέω	to follow along with, accompany
συναναμίγνυμι	συναναμίγνυμι	to associate with, mingle
συναπάγω	συναπάγομαι	to lead away with, carry away, associate with
συναποθνῄσκω	συναποθνῄσκω	to die with
συνεγείρω	συνεγείρω	to raise up with
σύνειμι	σύνειμι	to be with, come together
συνήθεια	συνήθεια, -ας, ἡ	habit, custom, practice
συντάσσω	συντάσσω	to arrange, direct, order
συντηρέω	συντηρέω	to preserve, treasure, defend
συντίθημι	συντίθημι	to agree
συντρέχω	συντρέχω	to run together, go with
σφαγή	σφαγή, -ῆς, ἡ	slaughter
σχεδόν	σχεδόν	almost, nearly
σωφροσύνη	σωφροσύνη, -ης, ἡ	self-control, moderation, good judgment
ταρσός	Ταρσός, -οῦ, ἡ	Tarsus
τελώνιον	τελώνιον, -ου, τό	tax office
τετρααρχέω	τετρααρχέω	to be tetrarch
τετράπους	τετράπους	a four-footed animal
τέχνη	τέχνη, -ης, ἡ	art, craft, trade
τήρησις	τήρησις, -εως, ἡ	an imprisonment, a keeping
τιβεριάς	Τιβεριάς, -άδος, ἡ	Tiberias
τίλλω	τίλλω	to pluck, pick
τοίνυν	τοίνυν	accordingly, therefore, hence
τολμηρός	τολμηρός	rather boldly
τρέμω	τρέμω	to tremble
τρίβος	τρίβος, -ου, ἡ	a beaten track, a path
τρόφιμος	Τρόφιμος, -ου, ὁ	Trophimus
τρυγάω	τρυγάω	to gather in, harvest
τυφλόω	τυφλόω	to blind, to make blind
τυφόω	τυφόομαι	to be puffed up, conceited
ὑάλινος	ὑάλινος, -η, -ον	of glass, glassy
ὕβρις	ὕβρις, -εως, ἡ	damage, an insult
ὑδρία	ὑδρία, -ας, ἡ	a water pot, jar
ὑπάντησις	ὑπάντησις, -εως, ἡ	a going to meet
ὑπεραίρω	ὑπεραίρομαι	to exalt oneself
ὑπέρακμος	ὑπέρακμος, -ον	past the bloom of youth, of full age
ὑπεράνω	ὑπεράνω	(high) above (gen)
ὑπερεκπερισσοῦ	ὑπερεκπερισσοῦ	exceeding abundantly
ὑπήκοος	ὑπήκοος, -ον	obedient
ὑπηρετέω	ὑπηρετέω	to serve, to minister to
ὑποδέω	ὑποδέομαι	to bind under, put on, wear
ὑπόμνησις	ὑπόμνησις, -εως, ἡ	a reminding, reminder, remembrance
ὑπονοέω	ὑπονοέω	to suspect, conjecture, suppose
ὑποφέρω	ὑποφέρω	to endure, bear up under
φανερῶς	φανερῶς	openly, publicly, clearly
φάρες	Φάρες, ὁ	Perez
φάσκω	φάσκω	to affirm, assert, profess
φθέγγομαι	φθέγγομαι	to utter, speak, proclaim
φιλόξενος	φιλόξενος, -ον	hospitable
φιλοτιμέομαι	φιλοτιμέομαι	to have as an ambition, to aspire to
φοβερός	φοβερός, -ά, -όν	fearful, terrible
φοινίκη	Φοινίκη, -ης, ἡ	Phoenicia
φοῖνιξ	φοῖνιξ	a palm tree, palm branch
φράσσω	φράσσω	to stop, shut, close
φρυγία	Φρυγία, -ας, ἡ	Phrygia
φύλαξ	φύλαξ, -ακος, ὁ	a guard, sentinel
φυσικός	φυσικός, -ή, -όν	natural, according to nature
φύω	φύω	to grow (up), come up
χρῖσμα	χρῖσμα, -τος, τό	an anointing, unction
χριστιανός	Χριστιανός, -οῦ, ὁ	a Christian
ψευδής	ψευδής, -ές	lying, false
ψῆφος	ψῆφος, -ου, ἡ	a small smooth stone, a voting-pebble
ψῦχος	ψῦχος, -ους, τό	cold
ὠδίνω	ὠδίνω	to have birth pangs, to travail in labor
ὠτίον	ὠτίον, -ου, τό	an ear
ἀβιούδ	Ἀβιούδ, ὁ	Abiud
ἅγαβος	Ἅγαβος, -ου, ὁ	Agabus
ἀγαθοεργέω	ἀγαθοεργέω	to do good
ἁγάρ	Ἁγάρ, ἡ	Hagar
ἀγγελία	ἀγγελία, -ας, ἡ	a message
ἄγναφος	ἄγναφος, -ον	unshrunken, new
ἁγνεία	ἁγνεία, -ας, ἡ	purity
ἁγνότης	ἁγνότης, -ητος, ἡ	purity, chastity, sincerity
ἀγνωσία	ἀγνωσία, -ας, ἡ	ignorance
ἀγοραῖος	ἀγοραῖος, -ου, ὁ	the marketplace
ἄγρα	ἄγρα, -ας, ἡ	a hunting, a catch
ἀγριέλαιος	ἀγριέλαιος, -ου, ἡ	a wild olive tree
ἀγρυπνία	ἀγρυπνία, -ας, ἡ	sleeplessness, case
ἀδελφότης	ἀδελφότης, -ητος, ἡ	brotherhood
ἄδηλος	ἄδηλος, -ον	unseen, indistinct
ἀδιάλειπτος	ἀδιάλειπτος, -ον	unceasing, constant
ἀδυνατέω	ἀδυνατέω	to be unable
ἀζώρ	Ἀζώρ, ὁ	Azor
ἀθέμιτος	ἀθέμιτος, -ον	unlawful, forbidden, disgusting
ἄθεσμος	ἄθεσμος, -ον	lawless, unprincipled
ἀθέτησις	ἀθέτησις, -εως, ἡ	a setting aside, annulment
ἀθηναῖος	Ἀθηναῖος, -α, -ον	Athenian
ἀθλέω	ἀθλέω	to compete
ἀθῷος	ἀθῷος, -ον	innocent
ἀΐδιος	ἀΐδιος, -ον	everlasting, eternal
αἰθίοψ	Ἂἰθίοψ, -οπος, ὁ	an Ethiopian
αἰνέας	Ἂἰνέας, -ου, ὁ	Aeneas
αἶνος	αἶνος, -ου, ὁ	praise 
αἰσχροκερδής	αἰσχροκερδής, -ές	greedy of base gain, avaricious
αἰφνίδιος	αἰφνίδιος, -ον	sudden
ἄκακος	ἄκακος, -ον	guileless, innocent
ἀκάνθινος	ἀκάνθινος, -η, -ον	of thorns, thorny
ἀκατακάλυπτος	ἀκατακάλυπτος, -ον	uncovered
ἀκατάκριτος	ἀκατάκριτος, -ον	uncondemned, without trial
ἀκατάστατος	ἀκατάστατος, -ον	unstable, restless
ἀκρασία	ἀκρασία, -ας, ἡ	to lack of self-control, self-indulgence
ἀκριβόω	ἀκριβόω	to ascertain precisely 
ἀκρογωνιαῖος	ἀκρογωνιαῖος, -α, -ον	corner, cornerstone, capstone
ἀλαζονεία	ἀλαζονεία, -ας, ἡ	pretension, arrogance
ἀλαζών	ἀλαζών, -ονος, ὁ	a boaster, braggart
ἀλαλάζω	ἀλαλάζω	to wail loudly
ἀλεξανδρεύς	Ἀλεξανδρεύς, -έως, ὁ	an Alexandrian
ἀλεξανδρῖνος	Ἀλεξανδρῖνος, -η, -ον	Alexandrian
ἄλευρον	ἄλευρον, -ου, τό	wheat flour
ἀληθεύω	ἀληθεύω	to speak the truth
ἀλήθω	ἀλήθω	to grind
ἁλίζω	ἁλίζω	to salt
ἅλων	ἅλων, -ος, ἡ	a threshing floor
ἄμαχος	ἄμαχος, -ον	uncontentious, peaceable
ἀμέμπτως	ἀμέμπτως	blamelessly
ἀμέριμνος	ἀμέριμνος, -ον	free from care
ἀμετάθετος	ἀμετάθετος, -ον	unchangeable
ἀμεταμέλητος	ἀμεταμέλητος, -ον	without regret
ἄμετρος	ἄμετρος, -ον	immeasurable
ἀναβαθμός	ἀναβαθμός, -οῦ, ὁ	a flight of stairs
ἀνάγαιον	ἀνάγαιον, -ου, τό	upper room
ἀναγεννάω	ἀναγεννάω	to beget again, cause to be born again
ἀναδείκνυμι	ἀναδείκνυμι	to show clearly, reveal, appoint
ἀναδέχομαι	ἀναδέχομαι	to undertake, receive, welcome
ἀναζάω	ἀναζάω	to live again, be resurrected
ἀναθεωρέω	ἀναθεωρέω	to observe carefully, examine, consider
ἀναίτιος	ἀναίτιος, -ον	innocent
ἀνακαθίζω	ἀνακαθίζω	to sit up
ἀνακαινόω	ἀνακαινόω	to renew
ἀνακαίνωσις	ἀνακαίνωσις, -εως, ἡ	renewal
ἀνακαλύπτω	ἀνακαλύπτω	to uncover, unveil
ἀνακεφαλαιόω	ἀνακεφαλαιόω	to sum up, recapitulate
ἀναλίσκω	ἀναλίσκω	to destroy, consume
ἀναλύω	ἀναλύω	to loose, depart, return
ἀνάπειρος	ἀνάπειρος	crippled
ἀναπολόγητος	ἀναπολόγητος, -ον	without excuse, inexcusable
ἀνάπτω	ἀνάπτω	to kindle
ἀνασείω	ἀνασείω	to stir up, incite
ἀνασπάω	ἀνασπάω	to draw up, pull up
ἀνατίθημι	ἀνατίθημι	to set forth, declare
ἀναφαίνω	ἀναφαίνω	to bring to light, cause to appear
ἀνεξιχνίαστος	ἀνεξιχνίαστος, -ον	inscrutable, incomprehensible
ἀνετάζω	ἀνετάζω	to examine judicially
ἀνευρίσκω	ἀνευρίσκω	to find out, look for
ἀνθρακιά	ἀνθρακιά, -ᾶς, ἡ	a charcoal fire
ἀνθρωπάρεσκος	ἀνθρωπάρεσκος, -ον	man-pleasing
ἄνιπτος	ἄνιπτος, -ον	unwashed
ἄνοια	ἄνοια, -ας, ἡ	folly, foolishness
ἀνοικοδομέω	ἀνοικοδομέω	to rebuild
ἀνόμως	ἀνόμως	lawlessly
ἀνόσιος	ἀνόσιος, -ον	unholy
ἀνοχή	ἀνοχή, -ῆς, ἡ	forbearance
ἀντάλλαγμα	ἀντάλλαγμα, -τος, τό	an exchange
ἀνταπόδομα	ἀνταπόδομα, -τος, τό	repayment, reward, recompense
ἀνταποκρίνομαι	ἀνταποκρίνομαι	to answer again
ἀντιμισθία	ἀντιμισθία, -ας, ἡ	a reward
ἀντιπαρέρχομαι	ἀντιπαρέρχομαι	pass by on the opposite side
ἀντίτυπος	ἀντίτυπος, -ον	struck back, corresponding to
ἀνώτερος	ἀνώτερος	higher , above
ἀνωφελής	ἀνωφελής, -ές	unprofitable, useless
ἀξίνη	ἀξίνη, -ης, ἡ	an axe
ἀπαιτέω	ἀπαιτέω	to ask for, demand
ἁπαλός	ἁπαλός, -ή, -όν	tender
ἀπαντάω	ἀπαντάω	to meet
ἀπειλέω	ἀπειλέω	to threaten, warm
ἀπεκδύομαι	ἀπεκδύομαι	to strip off, disarm
ἁπλοῦς	ἁπλοῦς, -ῆ, -οῦν	simple, single, sincere
ἀποβάλλω	ἀποβάλλω	to throw away, cast aside
ἀποβολή	ἀποβολή, -ῆς, ἡ	rejection, loss
ἀπογραφή	ἀπογραφή, -ῆς, ἡ	census, registration
ἀπόδεκτος	ἀπόδεκτος, -ον	acceptable
ἀποδοχή	ἀποδοχή, -ῆς, ἡ	acceptance, approval
ἀπόθεσις	ἀπόθεσις, -εως, ἡ	a removal, laying aside
ἀποκαραδοκία	ἀποκαραδοκία, -ας, ἡ	eager expectation
ἀποκυέω	ἀποκυέω	to give birth to, bring forth
ἀπόλαυσις	ἀπόλαυσις, -εως, ἡ	enjoyment
ἀπολούω	ἀπολούομαι	to wash oneself, wash away
ἀποπλανάω	ἀποπλανάω	to mislead
ἀποπνίγω	ἀποπνίγω	to choke, drown
ἀποστασία	ἀποστασία, -ας, ἡ	apostacy, abandonment
ἀποτελέω	ἀποτελέω	bring to completion, finish, perform
ἀποτινάσσω	ἀποτινάσσω	to shake off
ἀποτομία	ἀποτομία, -ας, ἡ	severity
ἀποτόμως	ἀποτόμως	severely, rigorously
ἀποχωρίζω	ἀποχωρίζομαι	to separate, split apart
ἀραβία	Ἀραβία, -ας, ἡ	Arabia
ἀράμ	Ἀράμ, ὁ	Aram
ἄρειος	Ἄρειος	"a hill (Areopagus ""the hill of Ares"") "
ἀρσενοκοίτης	ἀρσενοκοίτης, -ου, ὁ	a homosexual
ἀρχάγγελος	ἀρχάγγελος, -ου, ὁ	chief angel, archangel
ἄρχιππος	Ἄρχιππος, -ου, ὁ	Archippus
ἀσάλευτος	ἀσάλευτος, -ον	immovable, unshakable
ἀσάφ	Ἀσάφ, ὁ	Asa(ph)
ἀσήρ	Ἀσήρ, ὁ	Asher
ἀσσάριον	ἀσσάριον, -ου, τό	an assarion, a farthing (one tenth of a drachma)
ἆσσος	+Ἂσσος, -ου, ἡ	Assos
ἀστεῖος	ἀστεῖος, -α, -ον	handsome, well-bred
ἀστήρικτος	ἀστήρικτος, -ον	unstable, weak
ἄστοργος	ἄστοργος, -ον	without natural affection, unfeeling, unloving
ἀστράπτω	ἀστράπτω	to flash, gleam
ἀσχημονέω	ἀσχημονέω	to act unbecomingly, disgracefully
ἀσχημοσύνη	ἀσχημοσύνη, -ης, ἡ	a disgraceful deed
ἀτάκτως	ἀτάκτως	disorderly, unruly
ἄτεκνος	ἄτεκνος, -ον	childless
ἄτερ	ἄτερ	without (gen)
ἀτμίς	ἀτμίς, -ίδος, ἡ	vapor
αὐθάδης	αὐθάδης, -ες	self-willed, stubborn, arrogant
αὐθαίρετος	αὐθαίρετος, -ον	of one's own accord
αὐλητής	αὐλητής, -οῦ, ὁ	a flute player
αὐλίζομαι	αὐλίζομαι	to spend the night, lodge
αὔξησις	αὔξησις, -εως, ἡ	growth, increase
αὐστηρός	αὐστηρός, -ά, -όν	strict, exacting
αὐτάρκεια	αὐτάρκεια, -ας, ἡ	sufficiency, contentment, self-sufficiency
αὐτόματος	αὐτόματος, -η, -ον	by itself
ἀφεδρών	ἀφεδρών, -ῶνος, ὁ	toilet, latrine
ἁφή	ἁφή, -ῆς, ἡ	a joint
ἀφιλάργυρος	ἀφιλάργυρος, -ον	free from the love of money
ἀφοράω	ἀφοράω	to fix one's eyes, see
ἀφρίζω	ἀφρίζω	to foam (at the mouth)
ἀχάζ	Ἀχάζ, ὁ	Ahaz
ἀχάριστος	ἀχάριστος, -ον	ungrateful
ἀχίμ	Ἀχίμ, ὁ	Achim
ἀχρεῖος	ἀχρεῖος, -ον	useless, worthless, unworthy
ἄχυρον	ἄχυρον, -ου, τό	chaff
ἄψινθος	ἄψινθος	wormwood
βαρέως	βαρέως	with difficulty
βαρσαββᾶς	Βαρσαββᾶς, -ᾶ, ὁ	Barsabbas
βδελύσσω	βδελύσσομαι	to detest, abhor
βεβαίωσις	βεβαίωσις, -εως, ἡ	confirmation
βεβηλόω	βεβηλόω	to profane, desecrate
βέροια	Βέροια, -ας, ἡ	Berea
βιάζομαι	βιάζομαι	to force, dominate
βιθυνία	Βιθυνία, -ας, ἡ	Bithynia
βλάπτω	βλάπτω	to harm, injure
βοήθεια	βοήθεια, -ας, ἡ	help
βολίζω	βολίζω	to take soundings
βορέας	βορρᾶς, -ᾶ, ὁ	the north 
βουλευτής	βουλευτής, -οῦ, ὁ	a councilor
βουνός	βουνός, -οῦ, ὁ	a hill
βραβεῖον	βραβεῖον, -ου, τό	a prize
βραδύνω	βραδύνω	to hesitate, to be slow, delay
βροχή	βροχή, -ης, ἡ	rain
βυθίζω	βυθίζω	to sink, to plunge
γαβριήλ	Γαβριήλ, ὁ	Gabriel
γάζα	γάζα, -ης, ἡ	treasure
γαλατικός	Γαλατικός, -ή, -όν	Galatian
γαμαλιήλ	Γαμαλιήλ, ὁ	Gamaliel
γεθσημανί	Γεθσημανί	Gethsemane
γελάω	γελάω	to laugh
γενεαλογία	γενεαλογία, -ας, ἡ	a genealogy
γενέσια	γενέσια, -ων, τό	a birthday celebration
γεννητός	γεννητός, -ή, -όν	born, begotten
γηράσκω	γηράσκω	to grow old
γλωσσόκομον	γλωσσόκομον, -ου, τό	a money-box
δειγματίζω	δειγματίζω	to make a show of, expose, disgrace
δεινῶς	δεινῶς	terribly, vehemently
δεκαοκτώ	δεκαοκτώ	eighteen
δεκατόω	δεκατόω	to collect or receive tithes
δερμάτινος	δερμάτινος, -η, -ον	(made of) leather
δεσμώτης	δεσμώτης, -ου, ὁ	a prisoner
διαβεβαιόομαι	διαβεβαιόομαι	speak confidently, insist
διαγινώσκω	διαγινώσκω	to distinguish, decide
διαγογγύζω	διαγογγύζω	to complain, grumble
διάγω	διάγω	spend one's life, live
διαιρέω	διαιρέω	to distribute, divide
διαλαλέω	διαλαλέω	to discuss
διαπονέω	διαπονέομαι	to be annoyed, disturbed
διαπρίω	διαπρίομαι	to be cut to the quick, to be infuriated
διασαφέω	διασαφέω	to report, explain
διασπάω	διασπάω	to tear apart
διαταγή	διαταγή, -ῆς, ἡ	ordinance, direction
διατηρέω	διατηρέω	to keep free of
διαχειρίζω	διαχειρίζομαι	lay violent hands on, put to death
διδακτικός	διδακτικός, -ή, -όν	able to teach
δίδραχμον	δίδραχμον, -ου, τό	a double drachma
διετία	διετία, -ας, ἡ	a space of two years
διϊσχυρίζομαι	διϊσχυρίζομαι	to insist, maintain firmly
δικαίωσις	δικαίωσις, -εως, ἡ	justification
δικαστής	δικαστής, -οῦ, ὁ	a judge
διοδεύω	διοδεύω	to travel through, go about
διόπερ	διόπερ	therefore, for this very reason
διστάζω	διστάζω	to doubt, waver, hesitate
διχοστασία	διχοστασία, -ας, ἡ	dissension
διχοτομέω	διχοτομέω	to cut in two
δίψυχος	δίψυχος, -ον	double-minded, hesitating
δοκίμιον	δοκίμιον, -ου, τό	a testing
δορκάς	Δορκάς, -άδος, ἡ	Dorcas
δόσις	δόσις, -εως, ἡ	gift, giving
δοχή	δοχή, -ῆς, ἡ	a reception, a banquet
δυναμόω	δυναμόω	to strengthen, enable
δυσβάστακτος	δυσβάστακτος, -ον	hard to bear
δώρημα	δώρημα, -τος, τό	a gift, present
ἐγκαινίζω	ἐγκαινίζω	to renew, inaugurate, dedicate
ἔγκλημα	ἔγκλημα, -τος, τό	an accusation, charge
ἐγκρατεύομαι	ἐγκρατεύομαι	to exercise self-control
ἐγκρύπτω	ἐγκρύπτω	to hide
ἑζεκίας	Ἑζεκίας, -ου, ὁ	Hezekiah
εἰλικρινής	εἰλικρινής, -ές	pure, sincere
εἰρηνικός	εἰρηνικός, -ή, -όν	peaceable, peaceful
ἔκβασις	ἔκβασις, -εως, ἡ	outcome, a way out, end
ἐκδιηγέομαι	ἐκδιηγέομαι	to tell in detail, describe
ἔκδικος	ἔκδικος, -ου, ὁ	avenging, punishing
ἐκεῖσε	ἐκεῖσε	thither, there
ἐκκαθαίρω	ἐκκαθαίρω	to cleanse thoroughly
ἐκκεντέω	ἐκκεντέω	to pierce
ἐκκλείω	ἐκκλείω	to shut out, exclude
ἐκμυκτηρίζω	ἐκμυκτηρίζω	to ridicule, sneer
ἑκουσίως	ἑκουσίως	voluntarily, willingly
ἔκπαλαι	ἔκπαλαι	long ago, for a long time
ἐκπέμπω	ἐκπέμπω	to send out
ἐκτελέω	ἐκτελέω	to finish
ἐκτενῶς	ἐκτενῶς	intently, fervently
ἐκτρέφω	ἐκτρέφω	to to nourish, rear, bring up
ἔκφοβος	ἔκφοβος, -ον	terrified
ἐκφύω	ἐκφύω	put forth
ἑκών	ἑκών, -οῦσα, -ον	of one's own free will, voluntarily
ἐλαφρός	ἐλαφρός, -ά, -όν	light, easy to bear
ἐλεάζαρ	Ἐλεάζαρ, ὁ	Eleazar
ἐλεεινός	ἐλεεινός, -ή, -όν	miserable, pitiable
ἐλεήμων	ἐλεήμων, -ον	merciful, sympathetic, compassionate
ἐλιούδ	Ἐλιούδ, ὁ	Eliud
ἑλίσσω	ἑλίσσω	to roll up, to coil
ἑλληνίς	Ἑλληνίς, -ίδος, ἡ	a Greek
ἑλληνιστί	Ἑλληνιστί	the Greek language
ἐλλογέω	ἐλλογέω	to charge to one's account, impute
ελωι	ελωι	Eloi, my God
ἐμβάπτω	ἐμβάπτω	to dip
ἐμπαίκτης	ἐμπαίκτης, -ου, ὁ	a mocker
ἐμπλέκω	ἐμπλέκομαι	to be entangled, involved in
ἐμπορεύομαι	ἐμπορεύομαι	to engage in business
ἐμφανής	ἐμφανής, -ές	visible , manifest
ἐναγκαλίζομαι	ἐναγκαλίζομαι	to take in one's arms, hug
ἔναντι	ἔναντι	before (gen)
ἐνάρχομαι	ἐνάρχομαι	to begin
ἐνδιδύσκω	ἐνδιδύσκω	to dress, put on
ἔνδικος	ἔνδικος, -ον	righteous, just
ἐνδοξάζομαι	ἐνδοξάζομαι	to be glorified
ἐνέδρα	ἐνέδρα, -ας, ἡ	an ambush
ἐνεδρεύω	ἐνεδρεύω	to lie in wait , plot
ἐνέργημα	ἐνέργημα, -τος, τό	an effect, activity
ἐνευλογέω	ἐνευλογέω	to bless
ἔνθεν	ἔνθεν	from here
ἐνθυμέομαι	ἐνθυμέομαι	to ponder, consider, think
ἐνισχύω	ἐνισχύω	to strengthen
ἔννοια	ἔννοια, -ας, ἡ	a thought, intention, purpose
ἔννομος	ἔννομος, -ον	legal, lawful
ἑνότης	ἑνότης, -ητος, ἡ	oneness, unity
ἐνοχλέω	ἐνοχλέω	to trouble, annoy
ἐνταφιάζω	ἐνταφιάζω	to prepare for burial, bury
ἐνταφιασμός	ἐνταφιασμός, -οῦ, ὁ	preparation for burial, burial
ἔντευξις	ἔντευξις, -εως, ἡ	petition, request, prayer
ἐντός	ἐντός	inside, among
ἐντροπή	ἐντροπή, -ῆς, ἡ	shame, humiliation
ἐνυπνιάζομαι	ἐνυπνιάζομαι	to dream
ἐξαγγέλλω	ἐξαγγέλλω	to proclaim, report
ἑξακόσιοι	ἑξακόσιοι, -αι, -α	six hundred
ἐξανατέλλω	ἐξανατέλλω	to spring up
ἐξαπορέομαι	ἐξαπορέομαι	to despair
ἐξαρτίζω	ἐξαρτίζω	to finish, complete, equip
ἐξεγείρω	ἐξεγείρω	to raise, raise up
ἐξορύσσω	ἐξορύσσω	to dig out, dig through
ἐξωθέω	ἐξωθέω	to drive out, run aground
ἔοικα	ἔοικα	to be like
ἐπάγγελμα	ἐπάγγελμα, -τος, τό	a promise
ἐπαιτέω	ἐπαιτέω	to beg
ἐπαναπαύομαι	ἐπαναπαύομαι	to rest, rest upon
ἐπανέρχομαι	ἐπανέρχομαι	to return
ἐπανίστημι	ἐπανίστημι	to rise up against
ἐπαρχεία	ἐπαρχεία, -ας, ἡ	a province
ἐπαφρόδιτος	Ἐπαφρόδιτος, -ου, ὁ	Epaphroditus
ἐπεγείρω	ἐπεγείρω	to arouse, excite, stir up
ἐπενδύω	ἐπενδύω	to be clothed upon
ἐπηρεάζω	ἐπηρεάζω	to mistreat, revile
ἐπιδέχομαι	ἐπιδέχομαι	to receive, accept
ἐπιδημέω	ἐπιδημέω	to visit; live in a place
ἐπιείκεια	ἐπιείκεια, -ας, ἡ	kindness, gentleness
ἐπικατάρατος	ἐπικατάρατος, -ον	cursed
ἐπιλέγω	ἐπιλέγω	to call or name, choose
ἐπιλύω	ἐπιλύω	to explain, settle
ἐπιούσιος	ἐπιούσιος, -ον	for today, daily
ἐπιπόθησις	ἐπιπόθησις, -εως, ἡ	longing
ἐπιρίπτω	ἐπιρίπτω	to throw on, cast on
ἐπίσημος	ἐπίσημος, -ον	splendid, outstanding, notorious
ἐπισκοπέω	ἐπισκοπέω	to look upon, oversee
ἐπίστασις	ἐπίστασις, -εως, ἡ	pressure, attention
ἐπισυναγωγή	ἐπισυναγωγή, -ῆς, ἡ	meeting, assembling
ἐπιφέρω	ἐπιφέρω	to bring upon, inflict
ἐπιφώσκω	ἐπιφώσκω	to dawn, begin
ἐπιχορηγία	ἐπιχορηγία, -ας, ἡ	assistance, provision
ἐπιχρίω	ἐπιχρίω	to anoint
ἐποπτεύω	ἐποπτεύω	to observe, see
ἐρεθίζω	ἐρεθίζω	to arouse, provoke, exasperate
ἔριον	ἔριον, -ου, τό	wool
ἔριφος	ἔριφος, -ου, ὁ	a young goat, kid
ἑρμηνεία	ἑρμηνεία, -ας, ἡ	an interpretation
ἑρμῆς	Ἑρμῆς, -οῦ, ὁ	Hermes
ἐρυθρός	ἐρυθρός, -ά, -όν	red
ἔσοπτρον	ἔσοπτρον, -ου, τό	a mirror
ἐσώτερος	ἐσώτερος, -α, -ον	within, inside (gen)
ἑτεροδιδασκαλέω	ἑτεροδιδασκαλέω	to teach a different or divisive doctrine
εὕα	Εὕα, -ας, ἡ	Eve, the first woman
εὐεργεσία	εὐεργεσία, -ας, ἡ	a good deed
εὐθυδρομέω	εὐθυδρομέω	to run a straight course
εὐθύνω	εὐθύνω	to make straight
εὐκαιρία	εὐκαιρία, -ας, ἡ	fitting time, favorable opportunity
εὔκαιρος	εὔκαιρος, -ον	timely
εὐκαίρως	εὐκαίρως	in season, conveniently
εὐλάβεια	εὐλάβεια, -ας, ἡ	awe, reverence, piety
εὐνουχίζω	εὐνουχίζω	to make a eunuch of, castrate, emasculate
εὐσεβέω	εὐσεβέω	to show piety or profound respect towards
εὐσεβῶς	εὐσεβῶς	in a godly manner
εὔσπλαγχνος	εὔσπλαγχνος, -ον	tenderhearted
εὐτόνως	εὐτόνως	vigorously, vehemently
εὐφράτης	Εὐφράτης, -ου, ὁ	Euphrates, a river of Asia
εὐφροσύνη	εὐφροσύνη, -ης, ἡ	gladness
ἐφημερία	ἐφημερία, -ας, ἡ	a division, class (of temple priests)
